standard_id,rule_set_version,rule_id,metric,population,age_min,age_min_inclusive,age_max,age_max_inclusive,age_unit,measurement_method,reference_method,condition_group,condition_id,condition_operator,lower,lower_inclusive,upper,upper_inclusive,score,modifier,modifier_order,priority,source_citation,source_locator,verification_status,verified_by,verification_date,notes
AHA2022,2022.1,aha2022-adult-bmi-general-030,bmi,adult,20,TRUE,,,years,bmi_kg_m2,general_adult,bmi_general,30_to_below_35,interval,30,TRUE,35,FALSE,30,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 30.0-34.9 kg/m2; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-bmi-general-015,bmi,adult,20,TRUE,,,years,bmi_kg_m2,general_adult,bmi_general,35_to_below_40,interval,35,TRUE,40,FALSE,15,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 35.0-39.9 kg/m2; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-bmi-general-000,bmi,adult,20,TRUE,,,years,bmi_kg_m2,general_adult,bmi_general,at_or_above_40,interval,40,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, BMI adult column and Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"General adult BMI profile."
AHA2022,2022.1,aha2022-adult-bmi-asian-pacific-100,bmi,adult,20,TRUE,,,years,bmi_kg_m2,asian_or_pacific_ancestry,bmi_asian_pacific,18_5_to_below_23,interval,18.5,TRUE,23,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI, Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 18.5-22.9 kg/m2. BMI <18.5 is not assigned a numeric score in the alternative table and requires clinician judgment."
AHA2022,2022.1,aha2022-adult-bmi-asian-pacific-075,bmi,adult,20,TRUE,,,years,bmi_kg_m2,asian_or_pacific_ancestry,bmi_asian_pacific,23_to_below_25,interval,23,TRUE,25,FALSE,75,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI, Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 23.0-24.9 kg/m2; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-bmi-asian-pacific-050,bmi,adult,20,TRUE,,,years,bmi_kg_m2,asian_or_pacific_ancestry,bmi_asian_pacific,25_to_below_30,interval,25,TRUE,30,FALSE,50,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI, Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 25.0-29.9 kg/m2; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-bmi-asian-pacific-025,bmi,adult,20,TRUE,,,years,bmi_kg_m2,asian_or_pacific_ancestry,bmi_asian_pacific,30_to_below_35,interval,30,TRUE,35,FALSE,25,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI, Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 30.0-34.9 kg/m2; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-bmi-asian-pacific-000,bmi,adult,20,TRUE,,,years,bmi_kg_m2,asian_or_pacific_ancestry,bmi_asian_pacific,at_or_above_35,interval,35,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI, Asian or Pacific ancestry alternative bands (Circulation 2022;146:e24-e26)",transcribed,,,"Asian or Pacific ancestry alternative BMI profile."
AHA2022,2022.1,aha2022-adult-bmi-lean-muscular-consider-100,bmi,adult,20,TRUE,,,years,lean_higher_muscle_mass_with_bmi_kg_m2,clinician_judgment,bmi_modifier,lean_higher_muscle_mass_bmi_25_to_below_30,category_and_interval,25,TRUE,30,FALSE,100,consider_set_score,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: BMI (Circulation 2022;146:e24-e26)",transcribed,,,"Optional judgment rule: clinicians may assign 100 points to lean individuals with higher muscle mass and BMI 25.0-29.9 kg/m2; do not apply automatically."
AHA2022,2022.1,aha2022-adult-lipids-100,blood_lipids,adult,20,TRUE,,,years,non_hdl_cholesterol_mg_dl,none,non_hdl_cholesterol,below_130,interval,,,130,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26)",transcribed,,,"Non-HDL cholesterol may be calculated from a fasting or nonfasting blood sample."
AHA2022,2022.1,aha2022-adult-lipids-060,blood_lipids,adult,20,TRUE,,,years,non_hdl_cholesterol_mg_dl,none,non_hdl_cholesterol,130_to_below_160,interval,130,TRUE,160,FALSE,60,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 130-159 mg/dL; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-lipids-040,blood_lipids,adult,20,TRUE,,,years,non_hdl_cholesterol_mg_dl,none,non_hdl_cholesterol,160_to_below_190,interval,160,TRUE,190,FALSE,40,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 160-189 mg/dL; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-lipids-020,blood_lipids,adult,20,TRUE,,,years,non_hdl_cholesterol_mg_dl,none,non_hdl_cholesterol,190_to_below_220,interval,190,TRUE,220,FALSE,20,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: 190-219 mg/dL; the exclusive upper boundary is the next displayed cut point."
AHA2022,2022.1,aha2022-adult-lipids-000,blood_lipids,adult,20,TRUE,,,years,non_hdl_cholesterol_mg_dl,none,non_hdl_cholesterol,at_or_above_220,interval,220,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26)",transcribed,,,"Non-HDL cholesterol base-score band."
AHA2022,2022.1,aha2022-adult-lipids-treated-minus20,blood_lipids,adult,20,TRUE,,,years,lipid_lowering_drug_treatment,none,blood_lipids_modifier,drug_treated_level,is_true,,,,,20,subtract_points,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood lipids adult column and Notes on implementation: Blood lipids (Circulation 2022;146:e24-e26); AHA NHANES implementation supplement, Figure S5 (p. 20), doi:10.1161/CIRCULATIONAHA.122.060911",transcribed,,,"Subtract 20 points when the non-HDL cholesterol level represents a treated value. The advisory does not state an explicit base-score-zero exception; Figure S5 in the AHA applied implementation lists only nonnegative possible scores and supports applying a zero floor."
AHA2022,2022.1,aha2022-adult-glucose-fbg-no-diabetes-100,blood_glucose,adult,20,TRUE,,,years,fasting_blood_glucose_mg_dl,none,no_diabetes_fbg,no_diabetes_fbg_below_100,category_and_interval,,,100,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"This band requires no history of diabetes and fasting blood glucose below 100 mg/dL."
AHA2022,2022.1,aha2022-adult-glucose-fbg-no-diabetes-060,blood_glucose,adult,20,TRUE,,,years,fasting_blood_glucose_mg_dl,none,no_diabetes_fbg,no_diabetes_fbg_100_to_below_126,category_and_interval,100,TRUE,126,FALSE,60,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: no diabetes and FBG 100-125 mg/dL (prediabetes); the exclusive upper boundary is the next diagnostic cut point."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-no-diabetes-100,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,no_diabetes_hba1c,no_diabetes_hba1c_below_5_7,category_and_interval,,,5.7,FALSE,100,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"This alternative band requires no history of diabetes and HbA1c below 5.7%."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-no-diabetes-060,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,no_diabetes_hba1c,no_diabetes_hba1c_5_7_to_below_6_5,category_and_interval,5.7,TRUE,6.5,FALSE,60,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: no diabetes and HbA1c 5.7-6.4% (prediabetes); the exclusive upper boundary is the next diagnostic cut point."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-diabetes-040,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,diabetes_hba1c,diabetes_hba1c_below_7,category_and_interval,,,7,FALSE,40,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"The maximum score for a person with diabetes is 40 because of residual risk."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-diabetes-030,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,diabetes_hba1c,diabetes_hba1c_7_to_below_8,category_and_interval,7,TRUE,8,FALSE,30,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: diabetes with HbA1c 7.0-7.9%."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-diabetes-020,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,diabetes_hba1c,diabetes_hba1c_8_to_below_9,category_and_interval,8,TRUE,9,FALSE,20,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: diabetes with HbA1c 8.0-8.9%."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-diabetes-010,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,diabetes_hba1c,diabetes_hba1c_9_to_below_10,category_and_interval,9,TRUE,10,FALSE,10,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Source display: diabetes with HbA1c 9.0-9.9%."
AHA2022,2022.1,aha2022-adult-glucose-hba1c-diabetes-000,blood_glucose,adult,20,TRUE,,,years,hba1c_percent,none,diabetes_hba1c,diabetes_hba1c_at_or_above_10,category_and_interval,10,TRUE,,,0,none,0,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Blood glucose adult column and Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Diabetes with HbA1c at or above 10.0%."
AHA2022,2022.1,aha2022-adult-glucose-metformin-consider-minus20,blood_glucose,adult,20,TRUE,,,years,metformin_for_prediabetes_with_normoglycemia,clinician_judgment,blood_glucose_modifier,no_diabetes_prediabetes_metformin_and_normoglycemia,is_true,,,,,20,consider_subtract_points,1,1,doi:10.1161/CIR.0000000000001078,"Advisory Table 1, Notes on implementation: Blood glucose (Circulation 2022;146:e24-e26)",transcribed,,,"Optional judgment rule: for prediabetes treated with metformin to prevent diabetes and current normoglycemia, consider subtracting 20 points; do not apply automatically."
